postcode,zone_key,lat,lng
LA3 2AA,,54.053543,-2.885791
LA3 2AB,,54.053322,-2.885175
LA3 2AD,,54.052514,-2.885112
LA3 2AE,,54.051494,-2.882020
LA3 2AF,,54.052815,-2.883286
LA3 2AG,,54.052391,-2.885996
LA3 2AH,,54.052231,-2.881990
LA3 2AJ,,54.053026,-2.893708
LA3 2AL,,54.051963,-2.893945
LA3 2AN,,54.052214,-2.892835
LA3 2AP,,54.051820,-2.881737
LA3 2AQ,,54.049755,-2.881464
LA3 2AR,,54.053518,-2.887929
LA3 2AS,,54.051961,-2.888125
LA3 2AT,,54.052072,-2.888967
LA3 2AU,,54.053277,-2.888886
LA3 2AW,,54.042184,-2.891582
LA3 2AX,,54.053549,-2.889748
LA3 2AY,,54.053051,-2.890226
LA3 2AZ,,54.053181,-2.892123
LA3 2BA,,54.053009,-2.891141
LA3 2BB,,54.052213,-2.890635
LA3 2BD,,54.051331,-2.890754
LA3 2BE,,54.051229,-2.889896
LA3 2BF,,54.043095,-2.888699
LA3 2BG,,54.051271,-2.889103
LA3 2BH,zone_1,54.038295,-2.888719
LA3 2BJ,,54.048424,-2.892479
LA3 2BL,,54.045589,-2.892998
LA3 2BN,,54.044085,-2.893424
LA3 2BP,,54.050337,-2.891405
LA3 2BQ,,54.043603,-2.895384
LA3 2BS,,54.045127,-2.893416
LA3 2BT,,54.044409,-2.894485
LA3 2BU,,54.047001,-2.890478
LA3 2BW,,54.051039,-2.892581
LA3 2BX,,54.046486,-2.889642
LA3 2BY,,54.034062,-2.897255
LA3 2BZ,,54.046486,-2.889642
LA3 2DA,,54.032821,-2.910420
LA3 2DB,zone_1,54.039077,-2.888705
LA3 2DE,,54.045139,-2.889415
LA3 2DF,,54.047873,-2.889244
LA3 2DG,,54.046521,-2.888482
LA3 2DH,,54.049611,-2.893543
LA3 2DJ,,54.050108,-2.893218
LA3 2DL,,54.050820,-2.894210
LA3 2DN,,54.047757,-2.890265
LA3 2DP,zone_1,54.039925,-2.888326
LA3 2DQ,,54.047929,-2.891369
LA3 2DR,,54.048894,-2.889679
LA3 2DS,,54.049859,-2.890463
LA3 2DT,,54.049534,-2.889494
LA3 2DU,,54.048582,-2.888175
LA3 2DX,,54.047786,-2.887562
LA3 2DY,,54.050143,-2.888514
LA3 2EA,,54.051328,-2.887516
LA3 2EB,,54.051986,-2.887209
LA3 2ED,,54.051030,-2.886501
LA3 2EE,,54.049619,-2.886471
LA3 2EF,,54.046785,-2.886793
LA3 2EG,,54.045004,-2.886999
LA3 2EH,,54.045512,-2.887636
LA3 2EJ,,54.048936,-2.887602
LA3 2EL,,54.045507,-2.888232
LA3 2EN,,54.051538,-2.885794
LA3 2EP,,54.047981,-2.885505
LA3 2EQ,,54.047258,-2.887261
LA3 2ER,,54.048681,-2.884496
LA3 2ES,,54.049681,-2.884197
LA3 2ET,,54.049206,-2.885118
LA3 2EU,,54.050683,-2.884722
LA3 2EW,,54.049398,-2.885963
LA3 2EX,,54.053316,-2.887207
LA3 2EY,,54.044993,-2.884861
LA3 2EZ,,54.044699,-2.885695
LA3 2FB,,54.042219,-2.888024
LA3 2FD,,54.043456,-2.887241
LA3 2FE,,54.043184,-2.887648
LA3 2FF,,54.042378,-2.888486
LA3 2FG,,54.043162,-2.885769
LA3 2FH,,54.041408,-2.885945
LA3 2FJ,,54.041606,-2.887125
LA3 2FL,,54.040889,-2.886881
LA3 2FP,,54.042312,-2.885170
LA3 2FQ,,54.043361,-2.884353
LA3 2FT,zone_1,54.039401,-2.886223
LA3 2FW,zone_1,54.039875,-2.886630
LA3 2GR,zone_2,54.039369,-2.890605
LA3 2GS,zone_2,54.038337,-2.891606
LA3 2GT,zone_2,54.038806,-2.891402
LA3 2GW,zone_2,54.039264,-2.891443
LA3 2HB,,54.045664,-2.886509
LA3 2HD,,54.044403,-2.885612
LA3 2HE,,54.044516,-2.886134
LA3 2HF,,54.045390,-2.885908
LA3 2HG,,54.046610,-2.886163
LA3 2HH,,54.047425,-2.884195
LA3 2HJ,,54.046210,-2.883100
LA3 2HL,,54.045261,-2.885111
LA3 2HN,,54.047261,-2.883275
LA3 2HP,,54.047841,-2.882569
LA3 2HQ,,54.045901,-2.884865
LA3 2HR,,54.047699,-2.882276
LA3 2HS,,54.046566,-2.884818
LA3 2HT,,54.046017,-2.883676
LA3 2HU,,54.045440,-2.883969
LA3 2HW,,54.047424,-2.882988
LA3 2HX,,54.044656,-2.884212
LA3 2HY,,54.043681,-2.886070
LA3 2HZ,,54.043986,-2.887313
LA3 2JD,zone_2,54.038844,-2.889830
LA3 2JF,zone_2,54.038488,-2.890693
LA3 2JH,,54.047476,-2.891817
LA3 2JJ,,54.045387,-2.892307
LA3 2JL,,54.043415,-2.892891
LA3 2JN,,54.046224,-2.890920
LA3 2JP,,54.045171,-2.891126
LA3 2JQ,,54.044059,-2.888460
LA3 2JR,,54.044230,-2.890846
LA3 2JS,,54.044140,-2.891975
LA3 2JT,,54.043743,-2.892226
LA3 2JU,,54.043407,-2.890340
LA3 2JW,,54.045994,-2.891633
LA3 2JX,,54.042898,-2.889810
LA3 2JZ,,54.044274,-2.889656
LA3 2LA,,54.041247,-2.902786
LA3 2LB,,54.041144,-2.896049
LA3 2LD,,54.043049,-2.886408
LA3 2LE,zone_3,54.041716,-2.894061
LA3 2LF,,54.042704,-2.889287
LA3 2LG,,54.042138,-2.892970
LA3 2LH,zone_1,54.041307,-2.888646
LA3 2LN,,54.043191,-2.891573
LA3 2LP,,54.043129,-2.892610
LA3 2LQ,zone_2,54.040488,-2.889972
LA3 2LR,zone_3,54.040303,-2.894275
LA3 2LS,zone_3,54.039257,-2.893626
LA3 2LT,zone_3,54.040249,-2.893159
LA3 2LU,zone_3,54.040499,-2.892156
LA3 2LW,,54.042797,-2.891289
LA3 2LX,,54.040072,-2.895201
LA3 2LY,zone_2,54.040473,-2.890827
LA3 2NP,,54.046573,-2.893554
LA3 2NQ,,54.046592,-2.894685
LA3 2NR,,54.045946,-2.894594
LA3 2NS,,54.045517,-2.895456
LA3 2NT,,54.045135,-2.895982
LA3 2NU,,54.046792,-2.895605
LA3 2NW,,54.047346,-2.893540
LA3 2NX,,54.047132,-2.894528
LA3 2NY,,54.047706,-2.893563
LA3 2NZ,,54.048262,-2.892475
LA3 2PA,,54.048586,-2.893674
LA3 2PB,,54.048879,-2.892901
LA3 2PD,,54.048337,-2.894478
LA3 2PE,,54.047801,-2.894069
LA3 2PF,,54.047602,-2.896616
LA3 2PG,,54.047139,-2.898530
LA3 2PH,,54.046754,-2.897101
LA3 2PJ,,54.045869,-2.897663
LA3 2PL,,54.046377,-2.898147
LA3 2PN,,54.046737,-2.898109
LA3 2PP,,54.046811,-2.899042
LA3 2PQ,,54.046776,-2.896552
LA3 2PR,,54.047459,-2.900095
LA3 2PS,,54.046427,-2.899935
LA3 2PU,,54.047282,-2.899785
LA3 2PW,,54.045914,-2.898870
LA3 2PY,,54.039337,-2.896132
LA3 2PZ,,54.038925,-2.895940
LA3 2QA,,54.038890,-2.896947
LA3 2QB,,54.042151,-2.895979
LA3 2QD,,54.041406,-2.895932
LA3 2QE,,54.040376,-2.896613
LA3 2QF,,54.039628,-2.895665
LA3 2QG,,54.039949,-2.897153
LA3 2QH,,54.040570,-2.897121
LA3 2QJ,,54.039951,-2.898192
LA3 2QL,,54.040753,-2.899140
LA3 2QN,,54.041304,-2.898679
LA3 2QP,,54.041257,-2.900251
